Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,showmaxevent.com,Proshow.com,showmaxevent.com (pages),Proshow.com (pages),Results
convention center vancouver bc canada,Navigational,1900,40,1.57,0.13,0,71,,https://www.proshow.com/location/vancouver-convention-centre/,89000000
special event rentals calgary calgary ab,Navigational,1000,55,0.59,0.10,0,56,,https://www.proshow.com/location/calgary/,297000
vancouver bc festival of lights,Informational,1000,50,0.86,0.01,0,34,,https://www.proshow.com/case-study/honda-celebration-of-light/,2350000
audio visual canada,Commercial,880,59,0.00,0.01,0,18,,https://www.proshow.com/,463000000
audio visual club,Informational,720,23,0.00,0.00,0,75,,https://www.proshow.com/,278000000
audio visual,Informational,590,53,2.13,0.11,0,6,,https://www.proshow.com/,1410000000
vancouver convention centre canada place vancouver bc,Navigational,590,35,0.00,0.29,0,42,,https://www.proshow.com/location/vancouver-convention-centre/,4140000
audio visual equipment,Commercial,480,23,2.78,0.24,0,52,,https://www.proshow.com/audiovisual-rentals/,183000000
audiovisual,Informational,480,47,2.39,0.10,0,18,,https://www.proshow.com/,126000000
av equipment,Commercial,480,36,2.78,0.24,0,14,,https://www.proshow.com/audiovisual-rentals/,391000000
hotel arts calgary canada,"Informational, Navigational",480,43,0.56,0.81,0,89,,https://www.proshow.com/location/hotel-arts/,3080000
hotel arts hotel calgary,"Informational, Navigational",390,43,0.60,0.81,0,94,,https://www.proshow.com/location/hotel-arts/,4270000
show companies,Informational,390,45,0.43,1.00,0,19,,https://www.proshow.com/,1590000000
unit 117,"Commercial, Informational",390,23,0.00,0.11,0,9,,https://www.proshow.com/location/3140-14th-avenue-northeast-calgary-ab-t2a-6j4-canada/,376000000
vancouver convention centre vancouver bc,Navigational,390,58,2.03,0.17,0,14,,https://www.proshow.com/location/vancouver-convention-centre/,9680000
video companies vancouver,Commercial,390,38,2.91,0.25,0,17,,https://www.proshow.com/,91800000
video production companies vancouver,Commercial,390,50,3.79,0.42,0,75,,https://www.proshow.com/,6110000
audio and visual equipment,Commercial,320,31,2.33,0.17,0,60,,https://www.proshow.com/audiovisual-rentals/,180000000
audio visual equipment supplier,Commercial,320,33,3.48,0.04,0,12,,https://www.proshow.com/,16600000
av equipment suppliers,Commercial,320,54,3.48,0.04,0,17,,https://www.proshow.com/audiovisual-rentals/,34800000
north fraser way,"Informational, Transactional",320,15,0.00,0.09,0,30,,https://www.proshow.com/location/8105-north-fraser-way-burnaby-v5j-5m8/,30100000
