Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
av strategies,1,1,90,26,0.38,https://www.avstrategies.ca/,72,83.72,27,0.12,129000000,"2,4,3,4,4,2,4,3,3,4,4,3",2025-08-23,"Image pack, Sitelinks, Video",navigational,Organic
av companies vancouver,3,3,110,33,5.91,https://www.avstrategies.ca/,7,8.13,41,0.5,35800000,"41,41,41,11,64,100,82,64,64,11,100,100",2025-10-23,"Local pack, Video, Image, Ads bottom, People also ask, Related searches",commercial,Organic
vancouver av,5,5,70,39,3.96,https://www.avstrategies.ca/,2,2.32,7,0.31,22400000,"78,50,14,50,14,50,50,78,100,78,50,14",2025-09-05,"Local pack, Image pack, Sitelinks, Related searches",commercial,Organic
âv,21,21,1900,41,0,https://www.avstrategies.ca/,2,2.32,0,0,4700000000,"0,0,0,15,24,13,43,100,28,28,81,15",2025-10-14,"Image pack, Sitelinks, Video, Related searches, See results about, AI overview",informational,Organic
av bc,7,7,140,22,0,https://www.avstrategies.ca/,2,2.32,0,0,194000000,"0,6,6,6,6,65,100,65,81,65,43,43",2025-08-23,"Image pack, Video, Image, People also ask, Related searches","commercial, informational",Organic
av companies toronto,13,13,170,56,3.74,https://www.avstrategies.ca/,1,1.16,3,0.22,56800000,"23,35,28,35,28,28,15,18,35,44,28,28",2025-09-02,"Local pack, Image pack, Sitelinks, Image, Related searches",commercial,Organic
av strategies,52,52,90,26,0.38,https://www.avstrategies.ca/,0,0,0,0.12,129000000,"2,4,3,4,4,2,4,3,3,4,4,3",2025-08-23,"Image pack, Sitelinks, Video",navigational,Image pack
av strategies,52,52,90,26,0.38,https://www.avstrategies.ca/,0,0,0,0.12,129000000,"2,4,3,4,4,2,4,3,3,4,4,3",2025-08-23,"Image pack, Sitelinks, Video",navigational,Image pack
av company calgary,64,64,50,26,4.96,https://www.avstrategies.ca/,0,0,0,0.5,2320000,"10,53,10,10,10,10,17,12,10,10,10,12",2025-08-30,"Local pack, Image pack, Image, Related searches",commercial,Organic
audio visual companies toronto,30,30,170,50,3.74,https://www.avstrategies.ca/,0,0,0,0.22,13400000,"66,100,66,80,66,66,66,66,100,80,66,52",2025-08-23,"Local pack, Sitelinks, Image, Related searches",commercial,Organic
av inventory,96,96,140,9,0,https://www.avstrategies.ca/copy-of-about,0,0,0,0.02,30000000,"65,43,53,100,100,65,34,21,34,21,15,6",2025-09-01,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",commercial,Organic
intitle:av,32,32,320,61,0,https://www.avstrategies.ca/,0,0,0,0,58900000,"16,20,20,16,16,62,100,0,0,0,0,0",2025-09-02,"Sitelinks, People also ask",informational,Organic
audio visual services,72,72,90,36,2.28,https://www.avstrategies.ca/,0,0,0,0.12,401000000,"14,14,14,14,14,14,18,18,22,22,35,29",2025-09-02,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic
audio visual vancouver,18,18,70,41,6.37,https://www.avstrategies.ca/,0,0,0,0.23,5910000,"1,3,1,3,3,4,7,5,3,1,8,7",2025-10-27,"Local pack, Sitelinks, Image, Ads bottom, Related searches",commercial,Organic
av company,18,18,210,59,3.49,https://www.avstrategies.ca/,0,0,0,0.18,5910000000,"5,4,3,5,3,3,7,8,7,2,8,7",2025-08-31,"Image pack, Sitelinks, Image, People also ask, Related searches","commercial, informational",Organic
stage line stages,26,26,140,15,0.45,https://www.avstrategies.ca/mobile-staging,0,0,0,0.14,397000000,"65,53,53,53,53,53,53,53,0,0,80,65",2025-10-21,"Knowledge panel, Image pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches",navigational,Organic
audio visual companies vancouver,8,8,70,32,4,https://www.avstrategies.ca/,0,0,0,0.38,503000,"35,35,50,50,50,14,78,100,100,100,78,14",2025-09-04,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
av toronto,33,33,50,50,1.95,https://www.avstrategies.ca/,0,0,0,0.35,77600000,"35,35,35,28,28,35,35,35,50,50,50,14",2025-08-26,"Image pack, Image, People also ask, Related searches",commercial,Organic
av production company,90,90,70,37,2.46,https://www.avstrategies.ca/,0,0,0,0.21,10,"100,18,18,18,18,18,100,100,100,100,36,36",2025-11-08,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches",commercial,Organic
