Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
promosa management,1,1,140,34,0,https://www.promosa.com/,112,35.55,0,0.1,23,"52,100,80,66,52,66,66,52,80,66,66,100",2025-09-06,"Knowledge panel, Sitelinks, Related searches",navigational,Organic
promosa,1,1,140,37,0,https://www.promosa.com/,112,35.55,0,0,42,"80,100,66,66,66,42,66,52,52,42,52,66",2025-09-10,"Local pack, Image pack, Sitelinks, Video, Related searches",navigational,Organic
badlands music festival,1,1,5400,30,0.26,https://www.promosa.com/badlands-music-festival,48,15.23,12,0.1,4070000,"2,2,0,3,4,10,7,13,10,13,29,100",2025-10-02,"Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",navigational,People also ask
fvded in the park,17,17,4400,23,1,https://www.promosa.com/fvded,6,1.9,6,0.01,66500,"3,3,2,2,3,29,16,19,36,81,81,3",2025-11-09,"Image pack, Sitelinks, Video, Image, People also ask, See results about",informational,Organic
zedd badlands,1,1,480,24,0,https://www.promosa.com/badlands-music-festival,5,1.58,0,0.01,15100,"0,0,0,0,0,5,4,16,20,65,100,0",2025-10-22,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,People also ask
custom led wall displays,3,3,70,23,0,https://www.promosa.com/custom-led-display,5,1.58,0,0,85300000,"28,78,100,50,21,35",2025-08-23,"Image pack, Video, Popular products, Related searches",commercial,Organic
badland 2024,1,1,110,68,0,https://www.promosa.com/badlands-music-festival,4,1.26,0,0.01,2750000,"100,28,1,15,15,15,0,11,0,15,11,18",2025-09-08,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",informational,People also ask
promosa management,10,10,140,34,0,https://www.promosa.com/,4,1.26,0,0.1,23,"52,100,80,66,52,66,66,52,80,66,66,100",2025-09-06,"Knowledge panel, Sitelinks, Related searches",navigational,Knowledge panel
diplo badlands,1,1,70,21,0,https://www.promosa.com/badlands-music-festival,2,0.63,0,0,92,"100,2,2,0,0,2,2,0,0,2,2,2",2025-09-09,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,People also ask
fvded,23,23,3600,20,0,https://www.promosa.com/fvded,2,0.63,0,0,10,"1,1,0,1,2,29,29,19,24,66,81,2",2025-11-09,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches","informational, transactional",Organic
promosa,2,2,140,37,0,https://www.promosa.com/,2,0.63,0,0,42,"80,100,66,66,66,42,66,52,52,42,52,66",2025-09-10,"Local pack, Image pack, Sitelinks, Video, Related searches",navigational,Local pack
faded in the park,12,12,1600,30,1,https://www.promosa.com/fvded,2,0.63,2,0.01,44100000,"3,0,3,2,3,15,19,15,19,44,19,3",2025-10-14,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, See results about, Discussions and forums","commercial, informational",Organic
fvded location,1,1,50,32,0,https://www.promosa.com/fvded,1,0.31,0,0.01,25000,"100,0,15,0,26,0,15,15,7,7,7,19",2025-09-04,"Instant answer, Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,People also ask
badlands music festival,13,13,5400,30,0.26,https://www.promosa.com/badlands-music-festival,1,0.31,0,0.1,4070000,"2,2,0,3,4,10,7,13,10,13,29,100",2025-10-02,"Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",navigational,Organic
chasing summer,17,17,4400,41,0.33,https://www.promosa.com/chasing-summer,1,0.31,0,0.02,135000000,"1,1,1,1,2,3,10,13,13,13,81,36",2025-10-26,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums",navigational,Organic
rl grime calgary,1,1,50,22,0.32,https://www.promosa.com/badlands-music-festival,1,0.31,0,0.23,91,"9,9,0,9,9,9,9,9,52,52,52,100",2025-09-02,"Image pack, Sitelinks, Video, Image, People also ask, Related searches","commercial, informational",People also ask
calgary badlands,2,2,260,35,0.26,https://www.promosa.com/badlands-music-festival,1,0.31,0,0.16,1050000,"30,36,10,20,5,2,5,5,8,13,24,20",2025-09-05,"Image pack, Sitelinks, Video, People also ask, Related searches",navigational,People also ask
badlands 2024,3,3,110,13,0,https://www.promosa.com/badlands-music-festival,1,0.31,0,0.01,35900000,"66,19,23,9,6,1,15,1,12,4,2,0",2025-09-08,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,People also ask
badlands festival,3,3,320,24,0.21,https://www.promosa.com/badlands-music-festival,1,0.31,0,0.11,11700000,"100,7,7,5,9,9,21,17,26,32,39,72",2025-09-10,"Image pack, Sitelinks, Video, People also ask, Related searches",navigational,People also ask
indoor rental led video wall,7,7,70,16,0,https://www.promosa.com/vancouver-led-video-wall-screen-rental,1,0.31,0,0,15900000,"28,78,100,64,28,35",2025-08-19,"Local pack, Image pack, Video, Video Carousel, Popular products, Related searches",commercial,Video Carousel
fvded in the park vancouver,13,13,320,21,0.39,https://www.promosa.com/fvded,1,0.31,0,0.11,90,"100,4,3,2,3,4,3,20,16,24,16,36",2025-09-02,"Image pack, Sitelinks, Video, People also ask, Related searches","informational, transactional",Organic
promosa,2,2,140,37,0,https://www.promosa.com/,1,0.31,0,0,42,"80,100,66,66,66,42,66,52,52,42,52,66",2025-09-10,"Local pack, Image pack, Sitelinks, Video, Related searches",navigational,Local pack
led video wall rental near me,2,2,50,3,2.53,https://www.promosa.com/calgary-led-video-wall-screen-rental,1,0.31,2,0.21,86100000,"14,14,14,14,14,14,50,78,100,64,35,50",2025-08-23,"Local pack, Image pack, Video, People also ask, Popular products, Related searches",transactional,Organic
diljit dosanjh show toronto,54,54,50,17,0,https://www.promosa.com/diljit-dosanjh,0,0,0,0,200000,"81,4,4,4,4,4,4,2,2,4,4,4",2025-09-09,"Image pack, Video, Image, People also ask, Twitter carousel, Related searches, AI overview",informational,Organic
fvded location,19,19,50,32,0,https://www.promosa.com/fvded,0,0,0,0.01,25000,"100,0,15,0,26,0,15,15,7,7,7,19",2025-09-04,"Instant answer, Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
chasing summer calgary 2025,25,25,50,17,0.34,https://www.promosa.com/chasing-summer,0,0,0,0.03,90,"0,0,0,0,0,36,18,36,100,100,100,100",2025-09-02,"Image pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",navigational,Organic
chasing summer 2023,6,6,110,29,0,https://www.promosa.com/chasing-summer,0,0,0,0,85000000,"3,2,0,0,0,0,0,0,0,0,0,0",2025-08-16,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",informational,People also ask
badlands tent calgary,42,42,260,26,0.28,https://www.promosa.com/badlands-music-festival,0,0,0,0.14,70,"28,0,0,0,0,0,2,1,2,3,3,7",2025-08-15,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
led wall rental price,80,80,50,3,0,https://www.promosa.com/vancouver-led-video-wall-screen-rental,0,0,0,0,46800000,"14,14,14,14,14,0,50,78,100,64,50,35",2025-08-23,"Image pack, Video, Image, People also ask, Popular products, Related searches",transactional,Organic
badlands music,1,1,90,29,0.25,https://www.promosa.com/badlands-music-festival,0,0,0,0.05,35700000,"66,2,2,2,4,2,6,9,9,12,15,23",2025-08-16,"Local pack, Image pack, Sitelinks, Video, People also ask, Related searches",informational,People also ask
badlands music,12,12,90,29,0.25,https://www.promosa.com/badlands-music-festival,0,0,0,0.05,35700000,"66,2,2,2,4,2,6,9,9,12,15,23",2025-08-16,"Local pack, Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
fvded in the park surrey,16,16,140,22,0.44,https://www.promosa.com/fvded,0,0,0,0.09,69,"100,1,1,1,1,1,1,3,3,3,5,20",2025-09-05,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, See results about",informational,Organic
wssf,17,17,110,44,0,https://www.promosa.com/wssf,0,0,0,0,84,"2,2,2,2,2,2,9,15,44,100,4,2",2025-08-19,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
fvded in the park schedule,38,38,90,11,0.24,https://www.promosa.com/fvded,0,0,0,0.02,70,"100,6,6,6,6,6,6,15,21,21,28,65",2025-08-19,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
faded in the park vancouver,28,28,320,21,0.33,https://www.promosa.com/fvded,0,0,0,0.18,1100000,"100,4,2,2,2,2,4,21,26,48,72,72",2025-09-05,"Image pack, Sitelinks, Video, People also ask, Related searches","informational, transactional",Organic
steve aoki calgary,28,28,210,15,0,https://www.promosa.com/chasing-summer,0,0,0,0,130000,"100,1,0,0,0,0,0,0,0,0,0,0",2025-09-03,"Image pack, Video, Image",informational,Organic
ip lighting vancouver,23,23,90,25,0,https://www.promosa.com/lx-rigging-inventory,0,0,0,0.02,900000,"78,64,64,78,78,50,100,64,78,64,78,78",2025-09-10,"Knowledge panel, Image pack, Sitelinks, People also ask, Related searches","informational, transactional",Organic
rezz dj tour,17,17,90,30,0.18,https://www.promosa.com/rezz,0,0,0,0.05,4020000,"82,52,64,64,41,52,52,41,82,52,41,11",2025-09-02,"Knowledge panel, Image pack, Video, People also ask, Twitter carousel, Events, Related searches",informational,Organic
led panel rental,26,26,110,15,2.18,https://www.promosa.com/vancouver-led-video-wall-screen-rental,0,0,0,0.53,38500000,"26,0,42,42,42,34,42,53,53,80,100,53",2025-09-06,"Local pack, Image pack, Sitelinks, Video, Image, Related searches",commercial,Organic
led panel rental,46,46,110,15,2.18,https://www.promosa.com/calgary-led-video-wall-screen-rental,0,0,0,0.53,38500000,"26,0,42,42,42,34,42,53,53,80,100,53",2025-09-06,"Local pack, Image pack, Sitelinks, Video, Image, Related searches",commercial,Organic
fvaded,17,17,50,32,0.5,https://www.promosa.com/fvded,0,0,0,0.07,101000,"4,0,0,0,0,2,3,5,5,4,29,4",2025-08-17,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
big four calgary ab,78,78,110,19,0,https://www.promosa.com/calgary-stampede,0,0,0,0.01,9910000,"100,19,42,42,26,26,19,34,42,42,42,53",2025-09-02,"Knowledge panel, Local pack, Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
badlands calgary alberta,11,11,70,24,0,https://www.promosa.com/badlands-music-festival,0,0,0,0,909000,"45,1,1,0,1,0,0,1,1,1,1,1",2025-09-02,"Knowledge panel, Image pack, Sitelinks, Video, Related searches",navigational,Organic
faded in the park surrey,20,20,170,24,0.4,https://www.promosa.com/fvded,0,0,0,0.13,97,"100,1,1,1,1,1,1,5,5,5,8,30",2025-09-05,"Knowledge panel, Image pack, Video, Image, People also ask, Related searches",informational,Organic
fvded at the park,18,18,50,18,1.51,https://www.promosa.com/fvded,0,0,0,0.05,85,"66,9,9,9,0,9,9,9,9,9,9,100",2025-09-01,"Image pack, Sitelinks, Video, Related searches",informational,Organic
indigenous fashion week,26,26,210,42,0,https://www.promosa.com/vifw-vancouver-indigenous-fashion-week,0,0,0,0,63600000,"3,4,6,20,100,4,4,3,4,4,4,5",2025-09-02,"Knowledge panel, Image pack, Sitelinks, Video, Related searches",navigational,Organic
led board rental,40,40,140,19,2.18,https://www.promosa.com/calgary-led-video-wall-screen-rental,0,0,0,0.53,49100000,"26,34,42,42,42,34,42,53,53,80,100,53",2025-09-01,"Local pack, Image pack, Video, Image, Popular products, Related searches",transactional,Organic
led board rental,98,98,140,19,2.18,https://www.promosa.com/seattle-led-video-wall-screen-rental,0,0,0,0.53,49100000,"26,34,42,42,42,34,42,53,53,80,100,53",2025-09-01,"Local pack, Image pack, Video, Image, Popular products, Related searches",transactional,Organic
led screens,22,22,90,49,1.18,https://www.promosa.com/custom-led-display,0,0,0,0.81,2090000000,"10,23,23,43,28,10,53,12,35,10,43,12",2025-08-19,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",transactional,Organic
diljit show tickets toronto,76,76,70,14,0,https://www.promosa.com/diljit-dosanjh,0,0,0,0,184000,"100,3,3,3,3,0,0,3,3,3,3,3",2025-09-02,"Image pack, Video, People also ask, Twitter carousel, Related searches, AI overview","commercial, informational",Organic
fvded,32,32,3600,20,0,https://www.promosa.com/fvded,0,0,0,0,10,"1,1,0,1,2,29,29,19,24,66,81,2",2025-11-09,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches","informational, transactional",Image pack
contact vancouver festival,96,96,50,22,0,https://www.promosa.com/portfolio_concerts_festivals,0,0,0,0,48900000,"10,7,12,0,0,100,10,5,5,5,5,5",2025-08-21,"Image pack, Video, Related searches, Discussions and forums","commercial, informational",Organic
holland park fvded,26,26,50,21,0.48,https://www.promosa.com/fvded,0,0,0,0.06,96,"7,7,7,0,7,0,0,7,53,65,42,65",2025-08-20,"Knowledge panel, Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
snowbombing,15,15,70,61,0,https://www.promosa.com/snowbombing,0,0,0,0,122000,"10,10,14,18,14,22,18,14,18,10,8,4",2025-08-26,"Knowledge panel, Sitelinks, Video, People also ask, Twitter carousel, Related searches, Discussions and forums",navigational,Organic
calgary music fest,85,85,140,59,0.28,https://www.promosa.com/badlands-music-festival,0,0,0,0.09,17500000,"100,35,18,11,6,8,18,8,3,35,11,11",2025-08-19,"Carousel, Sitelinks, Video, People also ask, Related searches, Discussions and forums",navigational,Organic
calgary edm festival,26,26,50,21,0,https://www.promosa.com/chasing-summer,0,0,0,0,819000,"11,11,2,2,2,2,2,2,2,11,11,11",2025-08-19,"Image pack, Sitelinks, Video, Related searches, Discussions and forums","commercial, informational",Organic
badlands line up,15,15,50,10,0.12,https://www.promosa.com/badlands-music-festival,0,0,0,0.09,27600000,"52,9,0,9,9,9,9,9,9,42,52,100",2025-08-18,"Image pack, Sitelinks, Video, People also ask, Related searches, See results about, AI overview",informational,People also ask
calgary badlands,25,25,260,35,0.26,https://www.promosa.com/badlands-music-festival,0,0,0,0.16,1050000,"30,36,10,20,5,2,5,5,8,13,24,20",2025-09-05,"Image pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
chasing summer 2025 dates,29,29,50,16,0,https://www.promosa.com/chasing-summer,0,0,0,0.01,93,"0,0,0,9,9,9,63,63,100,100,100,100",2025-09-03,"Knowledge panel, Image pack, Sitelinks, Video, Featured snippet, People also ask, Related searches",navigational,Organic
stampede grandstand calgary ab,27,27,110,41,0.43,https://www.promosa.com/calgary-stampede,0,0,0,0.32,46900,"100,4,14,14,10,10,8,14,18,14,35,29",2025-08-21,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview","navigational, transactional",Organic
the gorge amphitheatre events,45,45,110,50,0.1,https://www.promosa.com/the-gorge-amphitheatre,0,0,0,0.26,775000,"100,80,80,53,19,26,53,65,26,19,26,7",2025-09-06,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
