Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
proshow audiovisual,1,1,320,32,2.07,https://www.proshow.com/,256,50.19,529,0.11,28500,"82,100,82,66,82,66,66,66,82,82,82,82",2025-10-28,"Local pack, Sitelinks, Video, Related searches, See results about","commercial, navigational",Organic
proshow,1,1,140,41,1.7,https://www.proshow.com/,112,21.96,190,0.08,3530000,"42,53,65,65,42,53,53,65,42,53,65,53",2025-09-08,"Local pack, Image pack, Sitelinks, Video, People also ask, Related searches","commercial, navigational",Organic
pro show,1,1,50,33,1.7,https://www.proshow.com/,40,7.84,68,0.08,8380000000,"0,0,4,4,19,14,14,33,66,66,80,23",2025-08-19,"Image pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
av companies vancouver,1,1,110,33,5.91,https://www.proshow.com/,14,2.74,82,0.5,35800000,"41,41,41,11,64,100,82,64,64,11,100,100",2025-10-23,"Local pack, Video, Image, Ads bottom, People also ask, Related searches",commercial,Organic
audio visual equipment rental,3,3,140,36,1.81,https://www.proshow.com/audiovisual-rentals/,9,1.76,16,0.19,23900000,"22,18,43,35,29,22,43,35,29,29,4,29",2025-09-04,"Local pack, Image pack, Sitelinks, Video, Image, Related searches",commercial,Organic
audio visual companies vancouver,1,1,70,32,4,https://www.proshow.com/,9,1.76,36,0.38,503000,"35,35,50,50,50,14,78,100,100,100,78,14",2025-09-04,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
unit 117,9,9,390,23,0,https://www.proshow.com/location/3140-14th-avenue-northeast-calgary-ab-t2a-6j4-canada/,9,1.76,0,0.11,376000000,"59,48,59,59,59,48,48,32,17,59,21,9",2025-09-11,"Sitelinks, Video, Image, Related searches","commercial, informational",Organic
proshow audiovisual,1,1,320,32,2.07,http://www.proshow.com/,8,1.56,16,0.11,28500,"82,100,82,66,82,66,66,66,82,82,82,82",2025-10-28,"Local pack, Sitelinks, Video, Related searches, See results about","commercial, navigational",Local pack
audio visual rental,5,5,260,35,2.19,https://www.proshow.com/audiovisual-rentals/,6,1.17,13,0.17,79400000,"36,36,29,29,29,29,44,29,29,44,44,29",2025-08-30,"Local pack, Image pack, Sitelinks, Video, Image, Related searches",commercial,Organic
audio visual vancouver,2,2,70,41,6.37,https://www.proshow.com/,5,0.98,31,0.23,5910000,"1,3,1,3,3,4,7,5,3,1,8,7",2025-10-27,"Local pack, Sitelinks, Image, Ads bottom, Related searches",commercial,Organic
proshow audiovisual,1,1,320,32,2.07,http://www.proshow.com/,5,0.98,10,0.11,28500,"82,100,82,66,82,66,66,66,82,82,82,82",2025-10-28,"Local pack, Sitelinks, Video, Related searches, See results about","commercial, navigational",Local pack
audio video companies near me,3,3,90,42,3.14,https://www.proshow.com/,5,0.98,15,0.49,846000000,"81,63,81,81,63,63,63,63,81,100,81,100",2025-09-08,"Local pack, Related searches",transactional,Organic
av production companies,2,2,50,56,1.93,https://www.proshow.com/,4,0.78,7,0.15,270000000,"11,22,100,22,22,22,22,22,100,100,100,77",2025-09-01,"Local pack, Image pack, Video, Image, People also ask, Related searches",commercial,Organic
av company calgary,3,3,50,26,4.96,https://www.proshow.com/,3,0.58,14,0.5,2320000,"10,53,10,10,10,10,17,12,10,10,10,12",2025-08-30,"Local pack, Image pack, Image, Related searches",commercial,Organic
audio visual equipment rental service,2,2,110,37,1.62,https://www.proshow.com/audiovisual-rentals/,3,0.58,4,0.13,29400000,"5,8,28,11,35,15,15,15,15,23,23,11",2025-08-22,"Sitelinks, Image, People also ask, Related searches, AI overview","commercial, informational",Organic
vancouver convention centre camera,6,6,70,20,0,https://www.proshow.com/location/vancouver-convention-centre/,2,0.39,0,0,1230000,"0,100,3,3,11,1,0,3,3,5,3,3",2025-09-01,"Image pack, Sitelinks, Video, Image, Related searches","commercial, informational",Organic
audio visual equipment supplier,12,12,320,33,3.48,https://www.proshow.com/,2,0.39,6,0.04,16600000,"72,59,39,21,48,32,39,14,17,11,7,17",2025-09-06,"Local pack, Sitelinks, Image, Related searches",commercial,Organic
av equipment rental,8,8,140,25,1.81,https://www.proshow.com/audiovisual-rentals/,2,0.39,3,0.19,27600000,"2,2,8,7,4,2,5,5,7,10,7,5",2025-08-24,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
